,Adj Close
1998-10-29,6.02
1998-10-30,6.47
1998-11-03,6.68
1998-11-04,6.53
1998-11-05,6.9
1998-11-06,7.74
1998-11-09,7.84
1998-11-10,8.01
1998-11-11,7.62
1998-11-12,6.62
1998-11-13,6.38
1998-11-16,6.9
1998-11-17,6.38
1998-11-18,6.85
1998-11-19,6.68
1998-11-20,7.1
1998-11-23,7.01
1998-11-24,7.22
1998-11-25,8.15
1998-11-26,8.49
1998-11-27,9.61
1998-11-30,8.74
1998-12-01,8.4
1998-12-02,9.25
1998-12-03,8.49
1998-12-04,8.45
1998-12-07,9.01
1998-12-08,9.22
1998-12-09,9.25
1998-12-10,9.09
1998-12-11,8.49
1998-12-14,7.32
1998-12-15,7.74
1998-12-16,7.22
1998-12-17,6.98
1998-12-18,7.31
1998-12-21,7.93
1998-12-22,7.84
1998-12-23,7.42
1998-12-28,6.95
1998-12-29,6.4
1998-12-30,6.49
1999-01-04,6.9
1999-01-05,6.92
1999-01-06,7.49
1999-01-07,6.84
1999-01-08,6.47
1999-01-11,6.22
1999-01-12,5.86
1999-01-13,5.44
1999-01-14,4.95
1999-01-15,7.31
1999-01-18,8.19
1999-01-19,8.4
1999-01-20,8.69
1999-01-21,8.49
1999-01-22,8.22
1999-01-26,8.53
1999-01-27,8.78
1999-01-28,9.01
1999-01-29,8.91
1999-02-01,9.34
1999-02-02,8.83
1999-02-03,8.91
1999-02-04,9.13
1999-02-05,8.61
1999-02-08,9.3
1999-02-09,9.48
1999-02-10,9.01
1999-02-11,9.09
1999-02-12,8.94
1999-02-17,8.67
1999-02-18,8.61
1999-02-19,8.78
1999-02-22,8.94
1999-02-23,8.83
1999-02-24,9.05
1999-02-25,8.74
1999-02-26,8.7
1999-03-01,8.87
1999-03-02,8.69
1999-03-03,8.83
1999-03-04,8.95
1999-03-05,8.94
1999-03-08,9.35
1999-03-09,9.13
1999-03-10,9.25
1999-03-11,8.61
1999-03-12,8.26
1999-03-15,8.69
1999-03-16,8.76
1999-03-17,8.67
1999-03-18,9.22
1999-03-19,9.91
1999-03-22,9.91
1999-03-23,9.99
1999-03-24,10.55
1999-03-25,11.37
1999-03-26,11.17
1999-03-29,10.77
1999-03-30,11.63
1999-03-31,11.28
1999-04-06,11.4
1999-04-07,11.9
1999-04-08,11.69
1999-04-09,11.81
1999-04-12,11.9
1999-04-13,11.34
1999-04-14,11.28
1999-04-15,11.03
1999-04-16,11.28
1999-04-19,11.13
1999-04-20,10.54
1999-04-22,10.97
1999-04-23,11.06
1999-04-26,10.58
1999-04-27,10.83
1999-04-28,10.94
1999-04-29,11.49
1999-04-30,11.85
1999-05-03,12.44
1999-05-04,11.93
1999-05-05,12.48
1999-05-06,13.04
1999-05-07,13.86
1999-05-10,14.36
1999-05-11,14.29
1999-05-12,13.78
1999-05-13,14.29
1999-05-14,14.0
1999-05-17,13.23
1999-05-18,13.78
1999-05-19,13.46
1999-05-20,13.53
1999-05-21,13.04
1999-05-24,12.27
1999-05-25,11.76
1999-05-26,12.51
1999-05-27,12.32
1999-05-28,12.18
1999-05-31,12.27
1999-06-01,11.97
1999-06-02,11.76
1999-06-04,12.68
1999-06-07,12.55
1999-06-08,12.51
1999-06-09,12.27
1999-06-10,11.98
1999-06-14,11.98
1999-06-15,12.4
1999-06-16,13.45
1999-06-17,13.48
1999-06-18,13.89
1999-06-21,13.6
1999-06-22,13.45
1999-06-23,13.1
1999-06-24,12.68
1999-06-25,12.85
