,Adj Close
1998-10-09,14.08
1998-10-13,13.63
1998-10-14,14.24
1998-10-15,15.19
1998-10-16,13.26
1998-10-19,14.08
1998-10-20,14.24
1998-10-21,13.83
1998-10-22,16.2
1998-10-23,16.39
1998-10-26,16.59
1998-10-27,16.79
1998-10-28,16.39
1998-10-29,15.61
1998-10-30,17.36
1998-11-03,18.92
1998-11-04,17.55
1998-11-05,19.31
1998-11-06,19.52
1998-11-09,19.91
1998-11-10,20.49
1998-11-11,19.71
1998-11-12,19.52
1998-11-13,18.74
1998-11-16,20.63
1998-11-17,23.82
1998-11-18,24.41
1998-11-19,25.76
1998-11-20,28.31
1998-11-23,28.31
1998-11-24,25.95
1998-11-25,25.35
1998-11-26,24.77
1998-11-27,24.77
1998-11-30,24.19
1998-12-01,23.38
1998-12-02,22.3
1998-12-03,17.95
1998-12-04,20.09
1998-12-07,21.26
1998-12-08,18.92
1998-12-09,17.95
1998-12-10,17.96
1998-12-11,17.55
1998-12-14,15.97
1998-12-15,16.79
1998-12-16,17.51
1998-12-17,17.15
1998-12-18,18.5
1998-12-21,20.29
1998-12-22,19.52
1998-12-23,19.31
1998-12-28,17.95
1998-12-29,17.55
1998-12-30,17.36
1999-01-04,17.55
1999-01-05,18.65
1999-01-06,18.84
1999-01-07,17.95
1999-01-08,17.95
1999-01-11,15.61
1999-01-12,14.24
1999-01-13,14.08
1999-01-14,13.07
1999-01-15,17.58
1999-01-18,17.0
1999-01-19,19.39
1999-01-20,22.24
1999-01-21,22.84
1999-01-22,23.05
1999-01-26,26.27
1999-01-27,26.47
1999-01-28,26.71
1999-01-29,28.53
1999-02-01,29.34
1999-02-02,28.95
1999-02-03,29.93
1999-02-04,30.33
1999-02-05,28.9
1999-02-08,29.93
1999-02-09,27.28
1999-02-10,29.11
1999-02-11,30.74
1999-02-12,30.94
1999-02-17,32.35
1999-02-18,31.94
1999-02-19,32.95
1999-02-22,33.95
1999-02-23,34.37
1999-02-24,34.2
1999-02-25,32.57
1999-02-26,35.0
1999-03-01,36.67
1999-03-02,36.8
1999-03-03,37.22
1999-03-04,34.46
1999-03-05,34.78
1999-03-08,32.74
1999-03-09,33.18
1999-03-10,33.77
1999-03-11,35.8
1999-03-12,37.62
1999-03-15,37.62
1999-03-16,38.02
1999-03-17,37.39
1999-03-18,35.8
1999-03-19,33.38
1999-03-22,29.34
1999-03-23,30.59
1999-03-24,30.35
1999-03-25,31.12
1999-03-26,30.33
1999-03-29,30.74
1999-03-30,29.52
1999-03-31,28.9
1999-04-06,29.52
1999-04-07,31.81
1999-04-08,31.03
1999-04-09,30.88
1999-04-12,31.24
1999-04-13,33.0
1999-04-14,35.5
1999-04-15,35.09
1999-04-16,35.12
1999-04-19,34.72
1999-04-20,34.72
1999-04-22,36.63
1999-04-23,33.77
1999-04-26,33.2
1999-04-27,32.72
1999-04-28,31.69
1999-04-29,32.38
1999-04-30,32.61
1999-05-03,32.79
1999-05-04,31.06
1999-05-05,31.65
1999-05-06,32.21
1999-05-07,32.97
1999-05-10,34.04
1999-05-11,33.96
1999-05-12,33.38
1999-05-13,34.33
1999-05-14,33.2
1999-05-17,32.43
1999-05-18,33.77
1999-05-19,33.38
1999-05-20,33.77
1999-05-21,32.79
1999-05-24,31.24
1999-05-25,29.79
1999-05-26,30.47
1999-05-27,29.89
1999-05-28,30.85
1999-05-31,31.44
1999-06-01,31.44
1999-06-02,31.24
1999-06-04,30.67
1999-06-07,29.93
1999-06-08,30.08
1999-06-09,29.52
1999-06-10,32.21
1999-06-14,31.01
1999-06-15,32.61
1999-06-16,31.62
1999-06-17,32.38
1999-06-18,35.59
1999-06-21,35.95
1999-06-22,36.94
1999-06-23,37.13
1999-06-24,34.58
1999-06-25,35.66
1999-06-28,35.71
1999-06-29,36.19
1999-06-30,36.77
1999-07-01,36.57
1999-07-02,37.36
1999-07-05,39.52
1999-07-06,38.53
1999-07-07,39.52
1999-07-08,37.56
1999-07-12,37.76
1999-07-13,37.56
1999-07-14,38.73
1999-07-15,39.12
1999-07-16,39.12
1999-07-19,39.7
1999-07-20,40.71
1999-07-21,41.89
1999-07-22,41.89
1999-07-23,41.89
1999-07-26,40.71
1999-07-27,38.53
1999-07-28,38.53
1999-07-29,38.12
1999-07-30,36.35
1999-08-02,36.31
1999-08-03,36.07
1999-08-04,35.59
1999-08-05,36.19
1999-08-06,35.57
1999-08-09,34.58
1999-08-10,35.4
1999-08-11,36.97
1999-08-12,35.59
1999-08-13,35.87
1999-08-16,36.57
1999-08-17,36.48
1999-08-18,34.78
1999-08-19,32.68
1999-08-20,33.0
1999-08-23,34.01
1999-08-24,34.22
1999-08-25,34.58
1999-08-26,34.51
1999-08-27,33.64
1999-08-30,33.58
1999-08-31,34.58
1999-09-01,34.69
1999-09-02,33.63
1999-09-03,35.17
1999-09-06,35.17
1999-09-08,33.8
1999-09-09,35.59
1999-09-10,36.77
1999-09-13,38.53
1999-09-14,37.58
1999-09-15,37.56
1999-09-16,37.58
1999-09-17,37.58
1999-09-20,38.33
1999-09-21,38.53
1999-09-22,38.44
1999-09-23,37.76
1999-09-24,36.57
1999-09-27,37.58
1999-09-28,37.65
1999-09-29,39.93
1999-09-30,37.54
1999-10-01,38.12
1999-10-04,39.98
1999-10-05,39.45
1999-10-06,40.71
1999-10-07,41.01
1999-10-08,39.9
1999-10-11,40.71
1999-10-13,40.51
1999-10-14,41.42
1999-10-15,39.52
1999-10-18,38.73
1999-10-19,40.9
1999-10-20,42.88
1999-10-21,41.3
1999-10-22,41.48
1999-10-25,40.51
1999-10-26,40.31
1999-10-27,37.97
1999-10-28,38.34
1999-10-29,37.56
1999-11-01,37.39
1999-11-03,38.96
1999-11-04,36.35
1999-11-05,36.98
1999-11-08,37.54
1999-11-09,36.35
1999-11-10,36.83
1999-11-11,37.39
1999-11-12,38.34
1999-11-16,41.51
1999-11-17,41.6
1999-11-18,41.89
1999-11-19,42.49
1999-11-22,44.07
1999-11-23,44.1
1999-11-24,44.14
1999-11-25,43.5
1999-11-26,43.5
1999-11-29,44.28
1999-11-30,43.46
1999-12-01,44.47
1999-12-02,47.43
1999-12-03,48.61
1999-12-06,53.33
1999-12-07,53.33
1999-12-08,53.76
1999-12-09,54.94
1999-12-10,55.34
1999-12-13,53.35
1999-12-14,53.35
1999-12-15,53.37
1999-12-16,54.32
1999-12-17,53.73
1999-12-20,55.71
1999-12-21,56.71
1999-12-22,62.25
1999-12-23,61.28
1999-12-27,62.25
1999-12-28,61.28
1999-12-29,62.36
1999-12-30,63.26
2000-01-03,58.32
2000-01-04,57.53
2000-01-05,58.3
2000-01-06,58.3
2000-01-07,58.3
2000-01-10,61.03
2000-01-11,59.55
2000-01-12,57.3
2000-01-13,65.2
2000-01-14,67.2
2000-01-17,63.63
2000-01-18,63.63
2000-01-19,61.45
2000-01-20,58.3
2000-01-21,57.51
2000-01-24,57.53
2000-01-26,61.28
2000-01-27,59.32
2000-01-28,57.71
2000-01-31,56.33
2000-02-01,53.56
2000-02-02,53.73
2000-02-03,56.92
2000-02-04,63.26
2000-02-07,71.21
2000-02-08,73.94
2000-02-09,68.54
2000-02-10,70.15
2000-02-11,68.19
2000-02-14,66.98
2000-02-15,67.2
2000-02-16,66.62
2000-02-17,64.82
2000-02-18,63.26
2000-02-21,61.64
2000-02-22,61.01
2000-02-23,63.63
2000-02-24,63.82
2000-02-25,67.2
2000-02-28,69.64
2000-02-29,75.13
2000-03-01,79.44
2000-03-02,77.13
2000-03-03,79.13
2000-03-08,78.27
2000-03-09,78.46
2000-03-10,75.11
2000-03-13,70.06
2000-03-14,65.99
2000-03-15,68.19
2000-03-16,70.93
2000-03-17,73.62
2000-03-20,74.7
2000-03-21,82.02
2000-03-22,78.46
2000-03-23,82.4
2000-03-24,87.34
2000-03-27,89.52
2000-03-28,84.01
2000-03-29,75.52
2000-03-30,76.09
2000-03-31,78.05
2000-04-03,73.51
2000-04-04,68.97
2000-04-05,69.14
2000-04-06,70.93
2000-04-07,69.95
2000-04-10,64.12
2000-04-11,63.93
2000-04-12,62.7
2000-04-13,57.3
2000-04-14,54.94
2000-04-17,57.3
2000-04-18,64.24
2000-04-19,64.03
2000-04-20,66.2
2000-04-24,62.72
2000-04-25,63.07
2000-04-26,61.28
2000-04-27,61.28
2000-04-28,64.03
2000-05-02,59.28
2000-05-03,56.33
2000-05-04,54.9
2000-05-05,55.54
2000-05-08,53.56
2000-05-09,50.0
2000-05-10,48.44
2000-05-11,49.6
2000-05-12,49.8
2000-05-15,54.26
2000-05-16,55.34
2000-05-17,53.78
2000-05-18,51.48
2000-05-19,49.78
2000-05-22,48.06
2000-05-23,45.55
2000-05-24,49.97
2000-05-25,51.4
2000-05-26,53.95
2000-05-29,55.91
2000-05-30,55.95
2000-05-31,54.53
2000-06-01,56.71
2000-06-02,65.43
2000-06-05,61.64
2000-06-06,59.25
2000-06-07,60.29
2000-06-08,61.89
2000-06-09,62.25
2000-06-12,58.91
2000-06-13,59.28
2000-06-14,60.14
2000-06-15,61.27
2000-06-16,60.1
2000-06-19,63.15
2000-06-20,65.46
2000-06-21,67.97
2000-06-23,61.08
2000-06-26,60.87
2000-06-27,61.28
2000-06-28,63.63
2000-06-29,62.25
2000-06-30,64.42
2000-07-03,66.02
2000-07-04,65.46
2000-07-05,64.34
2000-07-06,63.63
2000-07-07,65.2
2000-07-10,64.24
2000-07-11,62.25
2000-07-12,63.12
2000-07-13,60.38
2000-07-14,63.63
2000-07-17,65.2
2000-07-18,64.42
2000-07-19,63.26
2000-07-20,64.22
2000-07-21,63.26
2000-07-24,62.45
2000-07-25,59.09
2000-07-26,56.52
2000-07-27,53.76
2000-07-28,52.36
2000-07-31,52.36
2000-08-01,52.76
2000-08-02,53.35
2000-08-03,52.95
2000-08-04,52.36
2000-08-07,52.76
2000-08-08,51.57
2000-08-09,49.64
2000-08-10,50.0
2000-08-11,52.76
2000-08-14,55.14
2000-08-15,55.0
