,Adj Close
1999-11-04,3.66
1999-11-05,3.64
1999-11-08,3.57
1999-11-09,3.55
1999-11-10,3.61
1999-11-11,3.55
1999-11-12,3.46
1999-11-17,3.3
1999-11-18,3.32
1999-11-19,3.39
1999-11-22,3.51
1999-11-23,3.46
1999-11-25,3.48
1999-11-26,3.51
1999-11-29,3.63
1999-12-01,3.51
1999-12-02,3.59
1999-12-03,3.79
1999-12-06,3.79
1999-12-07,3.7
1999-12-08,3.74
1999-12-09,3.73
1999-12-10,3.72
1999-12-13,3.72
1999-12-14,3.72
1999-12-15,3.84
1999-12-16,4.1
1999-12-17,4.17
1999-12-20,4.41
1999-12-21,4.5
1999-12-22,4.5
1999-12-23,4.5
1999-12-27,4.5
1999-12-28,4.37
1999-12-29,4.49
1999-12-30,4.71
2000-01-03,4.3
2000-01-04,4.1
2000-01-05,4.1
2000-01-06,3.96
2000-01-07,4.01
2000-01-10,4.05
2000-01-11,4.05
2000-01-12,4.1
2000-01-13,4.1
2000-01-14,4.37
2000-01-17,4.5
2000-01-18,4.49
2000-01-19,4.37
2000-01-20,4.22
2000-01-21,4.18
2000-01-24,4.26
2000-01-26,4.01
2000-01-27,4.05
2000-01-28,3.96
2000-01-31,3.67
2000-02-01,3.68
2000-02-02,3.69
2000-02-03,3.83
2000-02-04,4.01
2000-02-07,4.03
2000-02-08,4.17
2000-02-09,4.18
2000-02-10,4.31
2000-02-11,4.38
2000-02-14,4.38
2000-02-15,4.38
2000-02-16,4.38
2000-02-17,4.47
2000-02-18,4.47
2000-02-21,4.47
2000-02-22,4.18
2000-02-23,4.31
2000-02-24,4.31
2000-02-25,4.2
2000-02-28,4.26
2000-02-29,4.16
2000-03-01,4.16
2000-03-02,4.31
2000-03-03,4.64
2000-03-08,4.59
2000-03-09,4.67
2000-03-10,4.67
2000-03-13,4.62
2000-03-14,4.59
2000-03-15,4.6
2000-03-16,4.66
2000-03-17,4.67
2000-03-20,4.67
2000-03-21,4.5
2000-03-22,4.59
2000-03-23,4.62
2000-03-24,4.67
2000-03-27,4.68
2000-03-28,4.62
2000-03-29,4.59
2000-03-30,4.3
2000-03-31,4.34
2000-04-03,4.22
2000-04-04,4.1
2000-04-05,4.16
2000-04-06,4.18
2000-04-07,4.18
2000-04-10,4.06
2000-04-11,3.96
2000-04-12,4.01
2000-04-13,3.79
2000-04-14,3.58
2000-04-17,3.12
2000-04-18,3.26
2000-04-19,3.38
2000-04-20,3.47
2000-04-24,3.43
2000-04-25,3.66
2000-04-26,3.62
2000-04-27,3.41
2000-04-28,3.51
2000-05-02,3.62
2000-05-03,3.51
2000-05-04,3.55
2000-05-05,3.58
2000-05-11,3.45
2000-05-12,3.56
2000-05-16,3.62
2000-05-17,3.64
2000-05-18,3.62
2000-05-19,3.55
2000-05-22,3.35
2000-05-23,3.25
2000-05-24,3.35
2000-05-26,3.3
2000-05-29,3.58
2000-06-01,3.72
2000-06-02,4.01
2000-06-05,4.08
2000-06-06,4.1
2000-06-07,4.05
2000-06-08,4.34
2000-06-09,4.38
2000-06-13,4.31
2000-06-14,4.32
2000-06-15,4.26
2000-06-16,4.26
2000-06-20,4.06
2000-06-21,4.26
2000-06-23,4.26
2000-06-26,4.26
2000-06-27,4.16
2000-06-28,4.1
2000-06-29,4.06
2000-06-30,4.18
2000-07-03,4.38
2000-07-04,4.45
2000-07-05,4.26
2000-07-06,4.19
2000-07-07,4.25
2000-07-10,4.38
2000-07-11,4.32
2000-07-12,4.38
2000-07-13,4.4
2000-07-14,4.38
2000-07-17,4.47
2000-07-18,4.45
2000-07-19,4.31
2000-07-20,4.34
2000-07-21,4.32
2000-07-24,4.4
2000-07-25,4.36
2000-07-26,4.38
2000-07-27,4.36
2000-07-28,4.4
2000-07-31,4.38
2000-08-01,4.4
2000-08-02,4.4
2000-08-03,4.4
2000-08-04,4.45
2000-08-07,4.56
2000-08-08,4.51
2000-08-09,4.56
2000-08-10,4.56
2000-08-11,4.65
2000-08-14,4.65
2000-08-15,4.61
2000-08-16,4.61
2000-08-17,4.6
2000-08-18,4.61
2000-08-21,4.61
2000-08-22,4.74
2000-08-23,4.74
2000-08-24,4.74
2000-08-25,4.75
2000-08-28,4.8
2000-08-29,4.88
2000-08-30,5.02
2000-08-31,5.19
2000-09-01,5.18
2000-09-04,5.19
2000-09-05,5.11
2000-09-06,5.11
2000-09-08,5.09
2000-09-11,5.08
2000-09-12,4.94
2000-09-13,4.96
2000-09-14,4.94
2000-09-15,4.94
2000-09-18,4.85
2000-09-19,4.78
2000-09-20,4.81
2000-09-21,4.81
2000-09-22,4.73
2000-09-25,4.8
2000-09-26,4.83
2000-09-27,4.81
2000-09-28,4.98
2000-09-29,5.02
2000-10-02,4.94
2000-10-03,4.96
2000-10-04,4.98
2000-10-05,4.91
2000-10-06,4.83
2000-10-09,4.81
2000-10-10,4.83
2000-10-11,4.78
2000-10-13,4.34
2000-10-16,4.42
2000-10-17,4.07
2000-10-18,3.74
2000-10-19,3.9
2000-10-20,3.92
2000-10-23,3.84
2000-10-24,3.74
2000-10-25,3.72
2000-10-26,3.72
2000-10-27,4.01
2000-10-30,3.95
2000-10-31,3.95
2000-11-01,3.89
2000-11-03,3.87
2000-11-06,3.87
2000-11-07,4.12
2000-11-08,3.97
2000-11-09,3.62
2000-11-10,3.74
2000-11-13,3.51
2000-11-14,3.68
2000-11-16,3.64
2000-11-17,3.68
2000-11-20,4.02
2000-11-21,4.15
2000-11-22,4.14
2000-11-23,4.14
2000-11-27,4.12
2000-11-28,4.07
2000-11-29,3.97
2000-11-30,3.85
2000-12-01,3.84
2000-12-04,4.02
2000-12-05,4.17
2000-12-06,4.2
2000-12-07,4.23
2000-12-08,4.49
2000-12-11,4.75
2000-12-12,4.74
2000-12-13,4.81
2000-12-14,4.78
2000-12-15,4.49
2000-12-18,4.49
2000-12-19,4.4
2000-12-20,4.17
2000-12-21,4.28
2000-12-22,4.45
2000-12-26,4.32
2000-12-27,4.4
2000-12-28,4.56
2001-01-02,4.7
2001-01-03,4.85
2001-01-04,5.11
2001-01-05,4.91
2001-01-08,4.91
2001-01-09,4.92
2001-01-10,4.91
2001-01-12,4.94
2001-01-15,4.94
2001-01-16,4.92
2001-01-17,5.02
2001-01-18,4.98
2001-01-19,5.11
2001-01-22,5.14
2001-01-23,5.29
2001-01-24,5.35
2001-01-29,5.21
2001-01-30,5.07
2001-01-31,4.98
2001-02-01,4.86
2001-02-02,4.78
2001-02-05,4.78
2001-02-06,4.81
2001-02-07,4.74
2001-02-08,4.7
2001-02-09,4.6
2001-02-12,4.6
2001-02-13,4.7
2001-02-14,4.81
2001-02-15,4.74
2001-02-16,4.31
2001-02-19,4.35
2001-02-20,4.31
2001-02-21,4.08
2001-02-22,4.08
2001-02-23,3.95
2001-03-01,4.1
2001-03-02,4.33
2001-03-05,4.48
2001-03-06,4.48
2001-03-07,4.44
2001-03-08,4.35
2001-03-09,4.33
2001-03-12,4.16
2001-03-13,4.14
2001-03-14,4.14
2001-03-15,4.06
2001-03-16,4.16
2001-03-19,4.05
2001-03-20,4.05
2001-03-21,3.95
2001-03-22,3.52
2001-03-23,3.54
2001-03-26,3.79
2001-03-27,3.85
2001-03-28,3.9
2001-03-29,3.82
2001-03-30,3.73
2001-04-02,3.69
2001-04-03,3.65
2001-04-04,3.61
2001-04-05,3.78
2001-04-06,3.88
2001-04-09,3.95
2001-04-10,4.16
2001-04-11,4.16
2001-04-12,4.21
2001-04-16,4.05
2001-04-17,3.9
2001-04-18,4.23
2001-04-19,4.16
2001-04-20,3.74
2001-04-23,3.79
2001-04-24,3.84
2001-04-25,3.85
2001-04-26,4.25
2001-04-27,4.56
2001-04-30,4.53
2001-05-02,4.23
2001-05-03,4.25
2001-05-04,4.47
2001-05-07,4.41
2001-05-08,4.29
2001-05-09,4.05
2001-05-11,4.0
2001-05-14,3.91
2001-05-15,3.99
2001-05-16,4.1
2001-05-17,4.58
2001-05-18,4.55
2001-05-21,4.62
2001-05-22,4.85
2001-05-23,4.8
2001-05-24,5.11
2001-05-25,4.89
2001-05-28,4.89
2001-05-29,4.95
2001-05-30,4.94
