,Adj Close
2017-12-18,11.754
2017-12-19,11.685
2017-12-20,11.979
2017-12-21,12.152
2017-12-22,12.23
2017-12-26,12.247
2017-12-27,12.273
2017-12-28,12.524
2018-01-02,12.619
2018-01-03,12.671
2018-01-04,12.593
2018-01-05,12.818
2018-01-08,12.74
2018-01-09,12.74
2018-01-10,12.636
2018-01-11,12.55
2018-01-12,12.507
2018-01-15,12.879
2018-01-16,12.887
2018-01-17,12.991
2018-01-18,13.104
2018-01-19,13.104
2018-01-22,12.922
2018-01-23,13.207
2018-01-24,13.994
2018-01-26,14.384
2018-01-29,14.721
2018-01-30,14.721
2018-01-31,15.378
2018-02-01,15.863
2018-02-02,15.724
2018-02-05,15.136
2018-02-06,15.214
2018-02-07,15.171
2018-02-08,15.594
2018-02-09,15.162
2018-02-14,15.863
2018-02-15,16.217
2018-02-16,16.364
2018-02-19,16.408
2018-02-20,16.468
2018-02-21,16.408
2018-02-22,16.485
2018-02-23,16.39
2018-02-26,16.529
2018-02-27,16.883
2018-02-28,16.546
2018-03-01,16.927
2018-03-02,16.659
2018-03-05,16.857
2018-03-06,16.84
2018-03-07,16.702
2018-03-08,16.287
2018-03-09,16.451
2018-03-12,16.624
2018-03-13,16.823
2018-03-14,16.944
2018-03-15,17.16
2018-03-16,16.918
2018-03-19,16.883
2018-03-20,16.797
2018-03-21,17.342
2018-03-22,17.523
2018-03-23,17.368
2018-03-26,18.137
2018-03-27,17.774
2018-03-28,17.152
2018-03-29,17.299
2018-04-02,16.745
2018-04-03,16.831
2018-04-04,16.693
2018-04-05,16.978
2018-04-06,17.385
2018-04-09,17.523
2018-04-10,17.61
2018-04-11,17.541
2018-04-12,17.446
2018-04-13,17.368
2018-04-16,16.702
2018-04-17,16.503
2018-04-18,16.84
2018-04-19,17.229
2018-04-20,17.022
2018-04-23,17.039
2018-04-24,16.702
2018-04-25,16.408
2018-04-26,16.84
2018-04-27,17.29
2018-04-30,17.497
2018-05-02,17.61
2018-05-03,17.048
2018-05-04,16.659
2018-05-07,16.606
2018-05-08,15.975
2018-05-09,16.235
2018-05-10,16.243
2018-05-11,16.148
2018-05-14,15.932
2018-05-15,16.191
2018-05-16,16.235
2018-05-17,15.387
