,Adj Close
2000-01-03,11.97
2000-01-04,11.24
2000-01-05,11.24
2000-01-06,11.11
2000-01-07,10.85
2000-01-10,10.85
2000-01-11,10.62
2000-01-12,10.29
2000-01-13,10.04
2000-01-14,9.98
2000-01-17,10.34
2000-01-18,10.29
2000-01-19,10.2
2000-01-20,9.98
2000-01-21,9.86
2000-01-24,9.86
2000-01-26,9.85
2000-01-27,9.52
2000-01-28,9.01
2000-01-31,8.29
2000-02-01,9.05
2000-02-02,8.92
2000-02-03,8.88
2000-02-04,8.89
2000-02-07,9.01
2000-02-08,9.31
2000-02-09,9.43
2000-02-10,9.01
2000-02-11,8.92
2000-02-14,8.73
2000-02-15,8.58
2000-02-16,8.47
2000-02-17,8.31
2000-02-18,8.11
2000-02-21,9.01
2000-02-22,8.37
2000-02-23,8.35
2000-02-24,8.47
2000-02-25,8.46
2000-02-28,8.36
2000-02-29,8.58
2000-03-01,9.14
2000-03-02,8.81
2000-03-03,8.95
2000-03-08,8.55
2000-03-09,8.16
2000-03-10,7.96
2000-03-13,7.77
2000-03-14,7.67
2000-03-15,7.73
2000-03-16,8.17
2000-03-17,8.0
2000-03-20,8.09
2000-03-21,8.02
2000-03-22,8.02
2000-03-23,8.01
2000-03-24,7.93
2000-03-27,7.9
2000-03-28,8.11
2000-03-29,8.88
2000-03-30,9.26
2000-03-31,9.09
2000-04-03,8.73
2000-04-04,8.54
2000-04-05,8.93
2000-04-06,9.43
2000-04-07,9.52
2000-04-10,9.36
2000-04-11,9.52
2000-04-12,8.89
2000-04-13,8.16
2000-04-14,7.4
2000-04-17,7.59
2000-04-18,7.77
2000-04-19,7.59
2000-04-20,7.59
2000-04-24,7.6
2000-04-25,7.66
2000-04-26,7.52
2000-04-27,7.59
2000-04-28,7.72
2000-05-02,7.59
2000-05-03,7.38
2000-05-04,7.19
2000-05-05,7.88
2000-05-08,7.59
2000-05-09,7.89
2000-05-10,7.94
2000-05-11,7.88
2000-05-12,8.02
2000-05-15,8.16
2000-05-16,8.47
2000-05-17,8.16
2000-05-18,8.11
2000-05-19,8.0
2000-05-22,7.88
2000-05-23,7.88
2000-05-24,8.02
2000-05-25,7.88
2000-05-26,8.16
2000-05-29,8.16
2000-05-30,8.16
2000-05-31,8.29
2000-06-01,8.47
2000-06-02,8.52
2000-06-05,8.53
2000-06-06,8.53
2000-06-07,9.03
2000-06-08,8.82
2000-06-09,9.03
2000-06-12,8.94
2000-06-13,9.03
2000-06-14,9.18
2000-06-15,9.45
2000-06-16,9.1
2000-06-19,9.03
2000-06-20,8.94
2000-06-21,9.1
2000-06-23,8.89
2000-06-26,8.92
2000-06-27,9.18
2000-06-28,9.72
2000-06-29,9.53
2000-06-30,9.53
2000-07-03,9.88
2000-07-04,10.02
2000-07-05,9.74
2000-07-06,9.88
2000-07-07,10.33
2000-07-10,10.46
2000-07-11,10.02
2000-07-12,10.46
2000-07-13,10.25
2000-07-14,10.46
2000-07-17,10.6
2000-07-18,10.68
2000-07-19,10.74
2000-07-20,10.96
2000-07-21,11.21
2000-07-24,11.75
2000-07-25,11.75
2000-07-26,11.65
2000-07-27,11.46
2000-07-28,11.17
2000-07-31,11.17
2000-08-01,10.74
2000-08-02,10.02
2000-08-03,10.2
2000-08-04,10.68
2000-08-07,10.9
2000-08-08,10.96
2000-08-09,11.04
2000-08-10,10.88
2000-08-11,11.04
2000-08-14,11.1
2000-08-15,11.1
2000-08-16,11.17
2000-08-17,11.04
2000-08-18,10.88
2000-08-21,10.74
2000-08-22,10.74
2000-08-23,10.73
2000-08-24,10.67
2000-08-25,10.67
2000-08-28,10.46
2000-08-29,10.85
2000-08-30,10.6
2000-08-31,10.33
2000-09-01,10.73
2000-09-04,11.13
2000-09-05,11.01
2000-09-06,11.24
2000-09-08,11.1
2000-09-11,11.4
2000-09-12,11.46
2000-09-13,11.3
2000-09-14,10.86
2000-09-15,10.67
2000-09-18,10.18
2000-09-19,10.33
2000-09-20,9.98
2000-09-21,9.88
2000-09-22,10.32
2000-09-25,10.07
2000-09-26,9.96
2000-09-27,9.89
2000-09-28,10.24
2000-09-29,10.58
2000-10-02,10.5
2000-10-03,10.18
2000-10-04,10.14
2000-10-05,10.25
2000-10-06,10.18
2000-10-09,10.15
2000-10-10,9.54
2000-10-11,9.03
2000-10-13,8.74
2000-10-16,8.74
2000-10-17,8.13
2000-10-18,7.49
2000-10-19,8.02
2000-10-20,7.9
2000-10-23,8.06
2000-10-24,8.23
2000-10-25,8.11
2000-10-26,8.74
2000-10-27,9.1
2000-10-30,9.18
2000-10-31,9.16
2000-11-01,9.31
2000-11-03,9.13
2000-11-06,9.1
2000-11-07,9.18
2000-11-08,8.89
2000-11-09,8.87
2000-11-10,8.75
2000-11-13,8.54
2000-11-14,8.56
2000-11-16,8.41
2000-11-17,8.0
2000-11-20,7.79
2000-11-21,7.77
2000-11-22,7.8
2000-11-23,7.72
2000-11-24,7.75
2000-11-27,7.59
2000-11-28,7.66
2000-11-29,7.66
2000-11-30,7.38
2000-12-01,7.31
2000-12-04,7.45
2000-12-05,7.94
2000-12-06,8.23
2000-12-07,8.16
2000-12-08,8.47
2000-12-11,8.34
2000-12-12,8.24
2000-12-13,8.02
2000-12-14,7.59
2000-12-15,7.41
2000-12-18,7.35
2000-12-19,7.45
2000-12-20,7.33
2000-12-21,7.46
2000-12-26,7.66
2000-12-27,8.25
2000-12-28,8.32
2001-01-02,7.95
2001-01-03,8.32
2001-01-04,8.71
2001-01-05,8.63
2001-01-08,8.72
2001-01-09,9.1
2001-01-10,9.02
2001-01-11,9.19
2001-01-12,8.93
2001-01-15,8.8
2001-01-16,8.72
2001-01-17,8.8
2001-01-18,8.76
2001-01-19,8.93
2001-01-22,9.24
2001-01-23,9.54
2001-01-24,9.64
2001-01-26,9.84
2001-01-29,9.69
2001-01-30,9.68
2001-01-31,9.44
2001-02-01,9.24
2001-02-02,9.08
2001-02-05,9.1
2001-02-06,9.11
2001-02-07,9.05
2001-02-08,9.19
2001-02-09,8.93
2001-02-12,8.93
2001-02-13,9.14
2001-02-14,8.8
2001-02-15,8.8
2001-02-16,8.42
2001-02-19,8.32
2001-02-20,8.2
2001-02-21,8.32
2001-02-22,8.42
2001-02-23,8.32
2001-02-28,8.56
2001-03-01,8.56
2001-03-02,8.56
2001-03-05,8.56
2001-03-06,8.59
2001-03-07,8.63
2001-03-08,8.8
2001-03-09,8.74
