,Adj Close
2000-04-14,1.086
2000-05-12,0.917
2000-05-24,1.176
2000-06-05,1.505
2000-06-15,1.963
2000-08-18,1.953
2000-10-03,2.083
2000-10-27,2.083
2000-10-31,2.153
2003-08-15,1.026
2003-09-15,1.176
2004-03-25,1.176
2004-06-02,1.395
2004-06-14,1.395
2004-06-15,1.395
2004-06-21,1.465
2004-07-02,1.395
2004-08-05,1.694
2006-04-12,2.681
2006-04-20,2.601
2006-04-25,3.319
2006-12-08,3.12
2006-12-19,2.97
2006-12-27,2.881
2007-01-09,3.0
2007-01-12,3.02
2007-01-15,2.97
2007-01-16,2.881
2007-01-23,2.731
2007-01-30,2.96
2007-02-13,2.99
2007-04-10,3.519
2007-04-16,3.977
2007-04-20,4.356
2007-04-23,4.356
2007-05-02,5.822
2007-05-16,5.981
2007-05-17,6.15
2007-05-22,6.469
2007-05-30,6.469
2007-06-05,6.469
2007-06-18,6.31
2007-06-21,6.39
2007-07-11,7.297
2007-07-23,8.084
2007-08-01,8.084
2007-08-16,7.267
2007-09-05,6.639
2007-09-20,6.798
2007-10-26,7.267
2007-11-16,7.267
2007-12-07,6.958
2008-01-08,8.723
2008-01-09,8.723
2008-01-11,8.493
2008-01-18,8.493
2008-01-21,7.825
2008-01-24,6.958
2008-01-29,7.008
2008-01-31,6.938
2008-02-06,6.938
2008-02-08,6.938
2008-02-12,6.928
2008-02-13,6.928
2008-02-15,6.928
2008-02-18,6.928
2008-02-19,6.828
2008-02-20,6.938
2008-02-21,7.157
2008-02-22,7.466
2008-02-25,7.586
2008-02-26,7.108
2008-02-27,7.048
2008-02-28,7.038
2008-02-29,7.048
2008-03-03,6.709
2008-03-04,7.157
2008-03-05,6.938
2008-03-06,6.928
2008-03-07,7.008
2008-03-10,7.157
2008-03-11,7.377
2008-03-12,7.367
2008-03-13,7.357
2008-03-14,7.317
2008-03-18,7.267
2008-03-19,7.157
2008-03-20,7.147
2008-03-24,7.008
2008-03-25,6.988
2008-03-26,6.878
2008-03-27,5.881
2008-03-28,5.812
2008-03-31,5.473
2008-04-01,5.473
2008-04-02,5.363
2008-04-03,5.363
2008-04-04,5.253
2008-04-07,5.363
2008-04-08,5.363
2008-04-09,5.363
2008-04-10,5.443
2008-04-11,5.552
2008-04-14,5.542
2008-04-15,5.582
2008-04-16,5.762
2008-04-17,5.632
2008-04-18,5.592
2008-04-22,5.582
2008-04-23,5.512
2008-04-24,5.443
2008-04-25,5.473
2008-04-28,5.473
2008-04-30,6.131
2008-05-02,6.111
2008-05-05,6.031
2008-05-06,6.011
2008-05-07,6.011
2008-05-08,5.981
2008-05-09,6.131
2008-05-12,5.981
2008-05-13,6.001
2008-05-14,6.011
2008-05-15,5.981
2008-05-16,5.433
2008-05-19,5.562
2008-05-20,5.742
2008-05-21,5.662
2008-05-26,5.672
2008-05-27,5.712
2008-05-28,5.742
2008-05-30,5.742
2008-06-02,5.742
2008-06-03,5.742
2008-06-04,5.742
2008-06-05,5.433
2008-06-06,5.622
2008-06-09,5.602
2008-06-10,5.652
2008-06-11,5.672
2008-06-12,5.672
2008-06-16,5.652
2008-06-17,5.672
2008-06-18,5.602
2008-06-20,5.562
2008-06-24,5.253
2008-06-25,5.064
2008-06-26,5.064
2008-06-27,4.964
2008-06-30,4.685
2008-07-01,4.645
2008-07-02,4.625
2008-07-03,4.605
2008-07-04,4.526
2008-07-07,4.526
2008-07-08,4.526
2008-07-14,4.506
2008-07-15,4.506
2008-07-17,4.376
2008-07-18,4.486
2008-07-23,4.207
2008-07-24,4.197
2008-07-25,3.957
2008-07-28,3.638
2008-07-29,3.738
2008-07-30,3.638
2008-07-31,4.077
2008-08-01,4.037
2008-08-04,3.858
2008-08-05,3.858
2008-08-06,3.858
2008-08-08,3.858
2008-08-11,3.858
2008-08-12,3.738
2008-08-13,3.738
2008-08-14,3.638
2008-08-15,3.638
2008-08-18,3.588
2008-08-19,3.578
2008-08-20,3.588
2008-08-21,3.578
2008-08-22,3.578
2008-08-25,3.519
2008-08-26,3.409
2008-08-27,3.389
2008-08-28,3.299
2008-08-29,3.299
2008-09-01,3.389
2008-09-03,3.299
2008-09-04,3.299
2008-09-05,3.18
2008-09-08,3.18
2008-09-09,3.07
2008-09-10,3.09
2008-09-11,3.06
2008-09-12,3.07
2008-09-15,3.07
2008-09-16,3.07
2008-09-17,3.05
2008-09-18,3.07
2008-09-19,3.249
2008-09-22,3.18
2008-09-23,3.14
2008-09-24,3.05
2008-09-25,3.0
2008-09-26,3.0
2008-09-29,2.841
2008-09-30,2.861
2008-10-01,2.811
2008-10-02,2.841
2008-10-03,2.94
2008-10-06,2.532
2008-10-07,2.382
2008-10-08,2.163
2008-10-09,2.163
2008-10-10,1.804
2008-10-13,2.033
2008-10-14,2.183
2008-10-15,2.073
2008-10-16,2.073
2008-10-17,2.063
2008-10-20,2.213
2008-10-21,2.263
2008-10-22,2.163
2008-10-23,2.033
2008-10-24,2.033
2008-10-27,1.804
2008-10-28,1.585
2008-10-29,1.585
2008-10-30,1.435
2008-10-31,1.565
2008-11-03,1.694
2008-11-04,1.804
2008-11-05,1.764
2008-11-06,1.734
2008-11-07,1.644
2008-11-10,1.664
2008-11-11,1.585
2008-11-12,1.565
2008-11-13,1.585
2008-11-14,1.585
2008-11-17,1.585
2008-11-18,1.515
2008-11-19,1.385
2008-11-21,1.475
2008-11-24,1.565
