,Adj Close
2006-04-07,36.85
2006-04-10,35.48
2006-04-11,33.96
2006-04-12,33.55
2006-04-13,33.05
2006-04-17,32.81
2006-04-18,33.2
2006-04-19,34.14
2006-04-20,36.11
2006-04-24,35.46
2006-04-25,35.32
2006-04-26,34.54
2006-04-27,33.24
2006-04-28,33.51
2006-05-02,32.57
2006-05-03,33.64
2006-05-04,31.41
2006-05-05,29.19
2006-05-08,27.89
2006-05-09,28.35
2006-05-10,27.48
2006-05-11,26.63
2006-05-12,24.87
2006-05-15,25.06
2006-05-16,26.02
2006-05-17,25.14
2006-05-19,23.27
2006-05-22,22.44
2006-05-23,21.0
2006-05-24,21.18
2006-05-25,22.21
2006-05-26,24.27
2006-05-29,22.7
2006-05-30,19.82
2006-05-31,19.82
2006-06-01,21.42
2006-06-02,22.7
2006-06-05,22.05
2006-06-06,21.0
2006-06-07,20.31
2006-06-08,20.2
2006-06-09,19.87
2006-06-12,18.39
2006-06-13,18.5
2006-06-14,18.53
2006-06-16,19.26
2006-06-19,18.74
2006-06-20,17.84
2006-06-21,18.39
2006-06-22,17.84
2006-06-23,18.53
2006-06-26,18.46
2006-06-27,18.12
2006-06-28,18.87
2006-06-29,19.09
2006-06-30,18.28
2006-07-03,17.88
2006-07-04,18.04
2006-07-05,17.18
2006-07-06,18.25
2006-07-07,17.88
2006-07-10,18.15
2006-07-11,18.87
2006-07-12,18.74
2006-07-13,17.84
2006-07-14,17.52
2006-07-17,18.08
2006-07-18,18.39
2006-07-19,19.22
2006-07-20,17.8
2006-07-21,17.7
2006-07-24,17.18
2006-07-25,17.38
2006-07-26,17.21
2006-07-27,17.74
2006-07-28,18.39
2006-07-31,19.06
2006-08-01,18.64
2006-08-02,19.09
2006-08-03,19.4
2006-08-04,19.37
2006-08-07,18.92
2006-08-08,18.31
2006-08-09,18.39
2006-08-10,18.28
2006-08-11,18.42
2006-08-14,18.74
2006-08-15,19.99
2006-08-16,21.7
2006-08-17,20.89
2006-08-18,21.18
2006-08-21,21.36
2006-08-22,21.18
2006-08-23,20.79
2006-08-24,21.14
2006-08-25,21.28
2006-08-28,22.25
2006-08-29,22.68
2006-08-30,23.14
2006-08-31,23.35
2006-09-01,24.27
2006-09-04,22.93
2006-09-05,22.57
2006-09-06,21.64
2006-09-08,22.44
2006-09-11,23.27
2006-09-12,24.27
2006-09-13,23.76
2006-09-14,23.23
2006-09-15,23.2
2006-09-18,23.27
2006-09-19,22.93
2006-09-20,22.25
2006-09-21,22.08
2006-09-22,21.76
2006-09-25,21.52
2006-09-26,22.21
2006-09-27,21.91
2006-09-28,23.76
2006-09-29,23.23
2006-10-02,23.87
2006-10-03,23.27
2006-10-04,24.6
2006-10-05,24.11
2006-10-06,23.48
2006-10-09,23.27
2006-10-10,23.43
2006-10-11,23.03
2006-10-13,23.76
2006-10-16,24.31
2006-10-17,24.11
2006-10-18,25.07
2006-10-19,24.49
2006-10-20,24.41
2006-10-23,24.78
2006-10-24,23.9
2006-10-25,23.43
2006-10-26,24.66
2006-10-27,26.58
2006-10-30,25.47
2006-10-31,25.56
2006-11-03,26.75
2006-11-06,28.14
2006-11-07,27.94
2006-11-08,28.08
2006-11-09,27.72
2006-11-10,27.94
2006-11-13,28.89
2006-11-14,28.94
2006-11-16,28.33
2006-11-17,28.08
2006-11-21,29.56
2006-11-22,30.21
2006-11-23,30.31
2006-11-24,29.92
2006-11-27,28.78
2006-11-28,28.14
2006-11-29,28.49
2006-11-30,27.89
2006-12-01,27.06
2006-12-04,27.51
2006-12-05,27.17
2006-12-06,26.97
2006-12-07,27.1
2006-12-08,28.26
2006-12-11,29.25
2006-12-12,29.28
2006-12-13,28.94
2006-12-14,29.62
2006-12-15,29.19
2006-12-18,28.49
2006-12-19,29.25
2006-12-20,28.83
2006-12-21,28.3
2006-12-22,28.59
2006-12-26,28.69
2006-12-27,29.19
2006-12-28,29.36
2007-01-02,29.56
2007-01-03,28.62
2007-01-04,27.8
2007-01-05,26.13
2007-01-08,27.27
2007-01-09,26.13
2007-01-10,26.44
2007-01-11,26.27
2007-01-12,27.06
2007-01-15,27.06
2007-01-16,26.98
2007-01-17,26.92
2007-01-19,27.24
2007-01-22,27.31
2007-01-23,27.31
2007-01-24,27.1
2007-01-26,27.1
2007-01-29,26.75
2007-01-30,27.38
2007-01-31,27.24
2007-02-01,29.12
2007-02-02,28.59
2007-02-05,29.08
2007-02-06,28.69
2007-02-07,28.0
2007-02-08,29.72
2007-02-09,29.53
2007-02-12,28.78
2007-02-13,28.83
2007-02-14,29.39
2007-02-15,29.15
2007-02-16,29.39
2007-02-21,29.28
2007-02-22,29.25
2007-02-23,28.26
2007-02-26,27.69
2007-02-27,25.43
2007-02-28,26.58
2007-03-01,26.05
2007-03-02,25.21
2007-03-05,24.6
2007-03-06,25.87
2007-03-07,25.21
2007-03-08,25.43
2007-03-09,25.54
2007-03-12,26.05
2007-03-13,24.73
2007-03-14,24.87
2007-03-15,24.62
2007-03-16,23.9
2007-03-19,24.35
2007-03-20,24.52
