,Adj Close
1998-11-13,4.974
1998-11-16,5.246
1998-11-17,5.603
1998-11-18,5.603
1998-11-19,5.265
1998-11-20,5.368
1998-11-23,5.34
1998-11-24,5.33
1998-11-25,5.265
1998-11-26,5.396
1998-11-27,5.405
1998-11-30,5.246
1998-12-01,4.974
1998-12-02,4.889
1998-12-03,4.608
1998-12-04,4.608
1998-12-07,4.964
1998-12-08,4.664
1998-12-09,4.692
1998-12-10,4.636
1998-12-11,4.42
1998-12-14,4.073
1998-12-15,4.439
1998-12-16,4.157
1998-12-17,4.026
1998-12-18,4.026
1998-12-21,4.214
1998-12-22,4.364
1998-12-23,4.439
1998-12-28,4.439
1998-12-29,4.289
1998-12-30,4.289
1999-01-04,4.439
1999-01-05,4.467
1999-01-06,4.636
1999-01-07,4.345
1999-01-08,4.082
1999-01-11,3.772
1999-01-12,3.594
1999-01-13,3.444
1999-01-14,3.162
1999-01-15,4.758
1999-01-18,4.758
1999-01-19,4.833
1999-01-20,5.33
1999-01-21,4.908
1999-01-22,4.758
1999-01-26,5.049
1999-01-27,5.18
1999-01-28,5.462
1999-01-29,5.922
1999-02-01,6.1
1999-02-02,5.762
1999-02-03,5.743
1999-02-04,5.922
1999-02-05,5.593
1999-02-08,5.987
1999-02-09,5.922
1999-02-10,5.818
1999-02-11,5.987
1999-02-12,5.706
1999-02-17,5.856
1999-02-18,5.593
1999-02-19,5.593
1999-02-22,5.593
1999-02-23,5.574
1999-02-24,5.546
1999-02-25,5.49
1999-02-26,5.593
1999-03-01,5.706
1999-03-02,5.715
1999-03-03,5.743
1999-03-04,5.781
1999-03-05,5.743
1999-03-08,5.856
1999-03-09,5.734
1999-03-10,5.856
1999-03-11,5.8
1999-03-12,5.34
1999-03-15,5.8
1999-03-16,5.95
1999-03-17,6.1
1999-03-18,6.466
1999-03-19,6.541
1999-03-22,6.41
1999-03-23,6.241
1999-03-24,6.081
1999-03-25,6.41
1999-03-26,6.241
1999-03-29,6.175
1999-03-30,5.987
1999-03-31,5.894
1999-04-06,5.997
1999-04-07,6.241
1999-04-08,6.363
1999-04-09,6.579
1999-04-12,6.691
1999-04-13,6.701
1999-04-14,6.579
1999-04-15,6.682
1999-04-16,6.457
1999-04-19,6.363
1999-04-20,6.109
1999-04-22,5.818
1999-04-23,6.053
1999-04-26,6.053
1999-04-27,6.278
1999-04-28,6.363
1999-04-29,6.466
1999-04-30,6.363
1999-05-03,6.569
1999-05-04,6.438
1999-05-05,6.466
1999-05-06,6.597
1999-05-07,6.87
1999-05-10,6.879
1999-05-11,6.71
1999-05-12,6.654
1999-05-13,6.823
1999-05-14,6.776
1999-05-17,6.907
1999-05-18,6.823
1999-05-19,6.644
1999-05-20,6.654
1999-05-21,6.494
1999-05-24,6.25
1999-05-25,5.894
1999-05-26,6.241
1999-05-27,5.95
1999-05-28,5.931
1999-05-31,5.95
1999-06-01,6.053
1999-06-02,6.166
1999-06-04,6.466
1999-06-07,6.438
1999-06-08,6.278
1999-06-09,6.297
1999-06-10,6.457
1999-06-14,6.419
1999-06-15,6.4
1999-06-16,6.654
1999-06-17,6.823
1999-06-18,6.513
1999-06-21,6.654
1999-06-22,6.654
1999-06-23,6.513
1999-06-24,6.222
1999-06-25,6.109
1999-06-28,6.138
1999-06-29,6.166
1999-06-30,6.494
1999-07-01,6.363
1999-07-02,6.4
1999-07-05,6.428
1999-07-06,6.438
1999-07-07,6.438
1999-07-08,6.053
1999-07-12,5.95
1999-07-13,6.053
1999-07-14,6.175
1999-07-15,6.138
1999-07-16,6.109
1999-07-19,5.894
1999-07-20,5.818
1999-07-21,5.818
1999-07-22,5.856
1999-07-23,5.612
1999-07-26,5.396
1999-07-27,5.424
1999-07-28,5.255
1999-07-29,5.208
1999-07-30,5.049
1999-08-02,5.03
1999-08-03,5.03
1999-08-04,5.03
1999-08-05,5.199
1999-08-06,5.049
1999-08-09,5.086
1999-08-10,5.03
1999-08-11,5.086
1999-08-12,5.086
1999-08-13,5.03
1999-08-16,4.974
1999-08-17,4.908
1999-08-18,4.758
1999-08-19,4.871
1999-08-20,5.002
1999-08-23,4.955
1999-08-24,5.03
1999-08-25,5.246
1999-08-26,5.246
1999-08-27,5.302
1999-08-30,5.133
1999-08-31,4.974
1999-09-01,5.115
1999-09-02,5.274
1999-09-03,5.481
1999-09-06,5.537
1999-09-08,5.396
1999-09-09,5.49
1999-09-10,5.593
1999-09-13,5.518
1999-09-14,5.33
1999-09-15,5.208
1999-09-16,5.133
1999-09-17,5.208
1999-09-20,5.33
1999-09-21,5.171
1999-09-22,5.03
1999-09-23,4.758
1999-09-24,4.936
1999-09-27,5.03
1999-09-28,4.936
1999-09-29,4.871
1999-09-30,4.645
1999-10-01,4.57
1999-10-04,4.664
1999-10-05,4.598
1999-10-06,4.702
1999-10-07,4.702
1999-10-08,4.796
1999-10-11,4.833
1999-10-13,4.636
1999-10-14,4.702
1999-10-15,4.57
1999-10-18,4.373
1999-10-19,4.439
1999-10-20,4.373
1999-10-21,4.336
1999-10-22,4.504
1999-10-25,4.636
1999-10-26,4.683
1999-10-27,4.739
1999-10-28,4.889
1999-10-29,4.908
1999-11-01,4.889
1999-11-04,5.049
1999-11-05,5.049
1999-11-08,5.049
1999-11-09,4.908
1999-11-10,4.974
1999-11-11,5.199
1999-11-12,5.143
1999-11-16,5.086
1999-11-17,4.842
1999-11-18,4.88
1999-11-19,5.218
1999-11-22,5.133
1999-11-23,5.227
1999-11-24,5.086
1999-11-25,5.265
1999-11-26,5.565
1999-11-29,5.499
1999-11-30,5.424
1999-12-01,5.593
1999-12-02,5.95
1999-12-03,5.997
1999-12-06,5.781
1999-12-07,5.781
1999-12-08,5.978
1999-12-09,6.053
1999-12-10,6.175
1999-12-13,6.138
1999-12-14,5.95
1999-12-15,5.894
1999-12-16,5.894
1999-12-17,5.894
1999-12-20,5.931
1999-12-21,6.109
1999-12-22,6.25
1999-12-23,6.353
1999-12-27,6.269
1999-12-28,6.438
1999-12-29,6.851
1999-12-30,6.87
2000-01-03,6.804
2000-01-04,6.194
2000-01-05,6.428
2000-01-06,6.194
2000-01-07,6.494
2000-01-10,7.029
2000-01-11,7.189
2000-01-12,7.376
2000-01-13,8.456
2000-01-14,8.681
2000-01-17,8.953
2000-01-18,8.991
2000-01-19,8.803
2000-01-20,8.615
2000-01-21,8.55
2000-01-24,8.578
2000-01-26,8.747
2000-01-27,8.719
2000-01-28,8.756
2000-01-31,8.456
2000-02-01,8.775
2000-02-02,8.991
2000-02-03,9.46
2000-02-04,9.713
2000-02-07,9.666
2000-02-08,9.863
2000-02-09,10.079
2000-02-10,10.323
2000-02-11,10.445
2000-02-14,10.586
2000-02-15,10.342
2000-02-16,10.089
2000-02-17,10.089
2000-02-18,9.91
2000-02-21,9.882
2000-02-22,9.76
2000-02-23,10.014
2000-02-24,10.164
2000-02-25,10.126
2000-02-28,9.863
2000-02-29,9.91
2000-03-01,9.976
2000-03-02,10.492
2000-03-03,10.689
2000-03-08,9.882
2000-03-09,9.91
2000-03-10,9.666
2000-03-13,9.451
2000-03-14,9.338
2000-03-15,9.122
2000-03-16,9.085
2000-03-17,8.859
2000-03-20,9.169
2000-03-21,9.253
2000-03-22,9.178
2000-03-23,9.225
2000-03-24,9.225
2000-03-27,9.197
2000-03-28,8.897
2000-03-29,8.756
2000-03-30,8.512
2000-03-31,8.493
2000-04-03,8.108
2000-04-04,7.93
2000-04-05,7.902
2000-04-06,8.278
2000-04-07,8.493
2000-04-10,8.39
2000-04-11,8.202
2000-04-12,7.986
2000-04-13,7.78
2000-04-14,7.677
2000-04-17,7.611
2000-04-18,7.93
2000-04-19,7.93
2000-04-20,7.686
2000-04-24,7.536
2000-04-25,7.789
2000-04-26,7.855
2000-04-27,7.442
2000-04-28,7.423
2000-05-02,8.034
2000-05-03,7.93
2000-05-04,7.677
2000-05-05,7.677
2000-05-08,7.414
2000-05-09,7.358
2000-05-10,7.179
2000-05-11,7.461
2000-05-12,7.649
2000-05-15,7.817
2000-05-16,7.902
2000-05-17,7.47
2000-05-18,7.358
2000-05-19,7.283
2000-05-22,7.01
2000-05-23,6.823
2000-05-24,7.029
2000-05-25,6.926
2000-05-26,7.189
2000-05-29,7.376
2000-05-30,7.855
2000-05-31,7.611
2000-06-01,7.686
2000-06-02,8.165
2000-06-05,7.986
2000-06-06,8.015
2000-06-07,7.855
2000-06-08,8.034
2000-06-09,8.108
2000-06-12,8.108
2000-06-13,8.23
2000-06-14,8.268
2000-06-15,8.268
2000-06-16,7.78
2000-06-19,7.771
2000-06-20,7.545
2000-06-21,7.264
2000-06-23,7.198
2000-06-26,7.085
2000-06-27,5.772
2000-06-28,6.269
2000-06-29,5.537
2000-06-30,5.603
2000-07-03,4.833
2000-07-04,4.833
2000-07-05,4.908
2000-07-06,5.086
2000-07-07,5.246
2000-07-10,5.246
2000-07-11,5.03
2000-07-12,5.03
2000-07-13,4.833
2000-07-14,4.908
2000-07-17,4.955
2000-07-18,4.833
2000-07-19,4.748
2000-07-20,4.683
2000-07-21,4.767
2000-07-24,4.702
2000-07-25,4.636
2000-07-26,4.645
2000-07-27,4.598
2000-07-28,4.467
2000-07-31,4.617
2000-08-01,4.702
2000-08-02,4.758
2000-08-03,4.833
2000-08-04,4.833
2000-08-07,4.871
2000-08-08,4.758
2000-08-09,4.702
2000-08-10,4.758
2000-08-11,4.88
2000-08-14,5.03
2000-08-15,5.246
2000-08-16,5.396
2000-08-17,5.696
2000-08-18,5.593
2000-08-21,5.462
2000-08-22,5.302
2000-08-23,5.19
2000-08-24,5.04
2000-08-25,5.19
2000-08-28,5.321
2000-08-29,5.19
2000-08-30,5.171
2000-08-31,5.443
2000-09-01,5.396
2000-09-04,5.499
2000-09-05,5.405
2000-09-06,5.368
2000-09-08,5.218
2000-09-11,5.105
2000-09-12,4.955
2000-09-13,4.908
2000-09-14,4.889
2000-09-15,4.889
2000-09-18,4.702
2000-09-19,4.767
2000-09-20,4.702
2000-09-21,4.702
2000-09-22,4.88
2000-09-25,4.908
2000-09-26,4.88
2000-09-27,4.711
2000-09-28,4.871
2000-09-29,4.758
2000-10-02,4.739
2000-10-03,4.767
2000-10-04,4.908
2000-10-05,5.133
2000-10-06,5.011
2000-10-09,5.03
2000-10-10,4.833
2000-10-11,4.739
2000-10-13,4.636
2000-10-16,4.617
2000-10-17,4.617
2000-10-18,4.523
2000-10-19,4.636
2000-10-20,4.458
2000-10-23,4.373
2000-10-24,4.552
2000-10-25,4.448
2000-10-26,4.636
2000-10-27,4.57
2000-10-30,4.523
2000-10-31,4.448
2000-11-01,4.392
2000-11-03,4.364
2000-11-06,4.439
2000-11-07,4.439
2000-11-08,4.42
2000-11-09,4.439
2000-11-10,4.467
2000-11-13,4.439
2000-11-14,4.401
2000-11-16,4.317
2000-11-17,4.317
2000-11-20,4.307
2000-11-21,4.204
2000-11-22,4.101
2000-11-23,4.035
2000-11-24,4.035
2000-11-27,3.988
2000-11-28,3.97
2000-11-29,3.988
2000-11-30,4.073
2000-12-01,4.082
2000-12-04,4.073
2000-12-05,4.336
2000-12-06,4.223
2000-12-07,4.383
2000-12-08,4.608
2000-12-11,4.636
2000-12-12,4.608
2000-12-13,4.767
2000-12-14,4.758
2000-12-15,4.636
2000-12-18,4.636
2000-12-19,4.683
2000-12-20,4.552
2000-12-21,4.448
2000-12-22,4.439
2000-12-26,4.467
2000-12-27,4.448
2000-12-28,4.579
2001-01-02,4.608
2001-01-03,5.03
2001-01-04,4.955
2001-01-05,4.702
2001-01-08,4.739
2001-01-09,4.833
2001-01-10,4.692
2001-01-11,4.767
2001-01-12,4.889
2001-01-15,4.936
2001-01-16,4.842
2001-01-17,4.899
2001-01-18,4.974
2001-01-19,5.03
2001-01-22,4.936
2001-01-23,5.011
2001-01-24,5.33
2001-01-26,5.621
2001-01-29,5.668
2001-01-30,5.528
2001-01-31,5.612
2001-02-01,5.603
2001-02-02,5.452
2001-02-05,5.424
